item,itemLabel,startDate,endDate,sourceDate,psid
Q6548691,Lim Hng Kiang,1999-06-03,2003-07-31,,Q6548691-5BED81B9-F8F0-4B87-A18B-533294AE3A2E
Q4354964,Khaw Boon Wan,2004-08-12,2011-05-20,,Q4354964-D9CD5286-C1FE-4812-8B92-4938B5DF7D1F
Q5520446,Gan Kim Yong,2011-05-21,2021-05-14,,Q5520446-762EBE4D-59AF-4116-8A83-9C33924FBC0F
Q7093820,Ong Ye Kung,2021-05-15,,,Q7093820-c7c56d2b-4e69-01da-faab-cf7374aa3412
